demand_id,buyer_id,crop,variety,required_quantity_tons,maximum_price_per_quintal,description,demand_date,required_by_date,cluster,district,taluka,village
D1444,B4128,Groundnut,Not Specified,54.83,7235.84,Buyer looking to purchase Groundnut directly from farmers.,2026-07-04,2026-09-19,Western Maharashtra (Desh),Pune,Junnar,Ajanawale
D1445,B3779,Sunflower,KBSH-1,75.92,6396.4,Seeking regular Sunflower supply from nearby farmers.,2026-07-23,2026-09-24,Vidarbha,Buldhana,Chikhli,Undri
D1446,B1988,Ragi,Not Specified,15.78,3855.91,"Standing requirement for Ragi, quantity flexible based on quality.",2026-08-19,2026-09-19,Konkan,Thane,Ambarnath,Ashele
D1447,B3217,Udid,BDU-1,39.59,8870.93,Inviting offers for Udid from farmers in the region.,2026-07-04,2026-08-04,Konkan,Thane,Kalyan,Antarde
D1448,B0694,Turmeric,Selam,6.51,15148.19,Sourcing Turmeric in bulk for our processing unit.,2026-07-17,2026-08-17,Western Maharashtra (Desh),Sangli,Miraj,Arag
D1449,B0499,Cotton,Suraj Bt,51.12,9573.77,Looking for fresh Cotton for wholesale procurement.,2026-08-02,2026-11-01,Western Maharashtra (Desh),Solapur,Solapur North,Banegaon
D1450,B1181,Turmeric,Not Specified,30.21,10525.11,Looking to procure Turmeric for institutional buyers.,2026-07-26,2026-08-14,Western Maharashtra (Desh),Sangli,Tasgaon,Anjani
D1451,B2465,Sunflower,Not Specified,59.26,8020.35,Need consistent Sunflower supply for ongoing operations.,2026-07-24,2026-09-12,Vidarbha,Buldhana,Motala,Rohinkhed
D1452,B0940,Mango (Alphonso),Kesar,23.91,9353.31,Bulk Mango (Alphonso) requirement for processing.,2026-06-05,2026-06-21,Konkan,Raigad,Alibag,Agarkot
D1453,B3881,Mango (Alphonso),Ratna,16.96,28438.71,Sourcing Mango (Alphonso) in bulk for our processing unit.,2026-06-26,2026-07-17,Konkan,Sindhudurg,Kankavli,Bandargaon
D1454,B1925,Field Beans,Not Specified,23.2,4922.9,Looking to procure Field Beans for institutional buyers.,2026-07-01,2026-07-18,Konkan,Raigad,Tala,Ambeli
D1455,B3542,Mango (Alphonso),Alphonso (Hapus),10.24,25890.21,Looking to procure Mango (Alphonso) for institutional buyers.,2026-06-04,2026-07-16,Konkan,Sindhudurg,Malwan,Devli
D1456,B4479,Tur,Phule Rajeshwari,26.95,7820.41,"Standing requirement for Tur, quantity flexible based on quality.",2026-07-08,2026-10-26,Marathwada,Beed,Kaij,Hol
D1457,B2255,Cotton,Ajeet-155 Bt,37.73,9768.05,Seeking regular Cotton supply from nearby farmers.,2026-05-03,2026-07-25,Marathwada,Dharashiv (Osmanabad),Paranda,Kangalgaon
D1458,B0985,Rice,Not Specified,11.85,3945.77,Looking to procure Rice for institutional buyers.,2026-07-27,2026-11-13,Konkan,Ratnagiri,Chiplun,Karambavane
D1459,B3642,Turmeric,Rajapuri,30.08,13871.79,Sourcing Turmeric for export-quality grading and packaging.,2026-07-03,2026-07-13,Western Maharashtra (Desh),Sangli,Khanapur,Balvadi
D1460,B1297,Tur,Vipula,21.85,8627.93,Inviting offers for Tur from farmers in the region.,2026-06-24,2026-07-27,Vidarbha,Yavatmal,Darwha,Bori Kh.
D1461,B1430,Soybean,Not Specified,30.39,6754.86,Requirement raised for Soybean to meet upcoming production schedule.,2026-07-04,2026-08-15,Vidarbha,Washim,Karanja,Bhambdevi
D1462,B2281,Sunflower,Not Specified,55.02,7979.23,Bulk Sunflower requirement for processing.,2026-08-22,2026-12-07,Vidarbha,Buldhana,Sangrampur,Bawanbir
D1463,B3963,Sunflower,Phule Raviraj,51.35,5638.8,Sourcing Sunflower for export-quality grading and packaging.,2026-08-23,2026-12-10,Vidarbha,Buldhana,Mehkar,Dongaon
D1464,B4305,Groundnut,SB-11,46.77,7638.81,"Standing requirement for Groundnut, quantity flexible based on quality.",2026-07-23,2026-10-07,Khandesh,Nashik,Trimbakeshwar,Talwade Tri
D1465,B0554,Jowar,CSH-25,24.06,5253.57,Need consistent Jowar supply for ongoing operations.,2026-08-23,2026-11-16,Vidarbha,Akola,Balapur,Wadegaon
D1466,B2652,Soybean,Not Specified,70.17,7044.96,Sourcing Soybean for export-quality grading and packaging.,2026-08-11,2026-09-18,Vidarbha,Washim,Malegaon,Chiwara
D1467,B1426,Bajra,Not Specified,33.09,4567.89,Bulk Bajra requirement for processing.,2026-05-08,2026-07-04,Marathwada,Beed,Parli,Dharmapuri
D1468,B0938,Tur,BDN-711,36.7,6812.92,Looking to procure Tur for institutional buyers.,2026-08-15,2026-10-01,Vidarbha,Chandrapur,Bhadravati,Ashta
D1469,B2631,Cashew,Vengurla-8,16.38,23614.77,"Standing requirement for Cashew, quantity flexible based on quality.",2026-07-16,2026-08-07,Konkan,Ratnagiri,Mandangad,Ambavane Bk.
D1470,B2069,Groundnut,SB-11,23.1,8217.82,Buyer looking to purchase Groundnut directly from farmers.,2026-08-13,2026-10-01,Khandesh,Nashik,Sinnar,Wavi
D1471,B0705,Wheat,Not Specified,47.29,2983.99,"Procurement need for good quality Wheat, open to multiple sellers.",2026-05-04,2026-06-15,Marathwada,Nanded,Mukhed,Jamb Bk.
D1472,B0043,Linseed,Parbhani Alsi,39.4,7681.17,Requirement raised for Linseed to meet upcoming production schedule.,2026-05-27,2026-09-22,Vidarbha,Gadchiroli,Korchi,Betakathi
D1473,B4327,Bajra,Phule Adishakti,45.11,3262.62,Requirement raised for Bajra to meet upcoming production schedule.,2026-06-20,2026-09-24,Marathwada,Jalna,Mantha,Mantha
D1474,B1130,Ragi,Not Specified,17.85,3863.94,Bulk Ragi requirement for processing.,2026-07-17,2026-08-27,Konkan,Thane,Kalyan,Antarde
D1475,B4238,Tur,BDN-711,40.37,5703.62,Inviting offers for Tur from farmers in the region.,2026-06-16,2026-08-08,Marathwada,Dharashiv (Osmanabad),Kalamb,Diksal
D1476,B2375,Gram,Not Specified,25.05,6291.98,Bulk Gram requirement for processing.,2026-08-18,2026-10-02,Marathwada,Latur,Nilanga,Kasarshirshi
D1477,B2360,Coconut,Dwarf Green,31.97,6219.07,Inviting offers for Coconut from farmers in the region.,2026-06-14,2026-06-27,Konkan,Sindhudurg,Dodamarg,Talkat
D1478,B4473,Jowar,Not Specified,16.0,4421.9,Sourcing Jowar in bulk for our processing unit.,2026-07-27,2026-08-25,Marathwada,Hingoli,Sengaon,Pankanhergaon
D1479,B2770,Udid,Phule Uttara,31.01,8876.43,Seeking regular Udid supply from nearby farmers.,2026-05-29,2026-09-24,Konkan,Thane,Bhiwandi,Ambardi
D1480,B2701,Udid,Not Specified,53.01,9234.86,"Procurement need for good quality Udid, open to multiple sellers.",2026-07-08,2026-10-13,Konkan,Thane,Kalyan,Antarde
D1481,B0290,Mango (Alphonso),Alphonso (Hapus),35.2,20664.84,"Standing requirement for Mango (Alphonso), quantity flexible based on quality.",2026-08-23,2026-10-07,Konkan,Raigad,Panvel,Bhatan
D1482,B3923,Field Beans,Not Specified,13.71,2878.46,Looking for fresh Field Beans for wholesale procurement.,2026-07-08,2026-08-01,Konkan,Raigad,Sudhagad-Pali,Kumbharshet
D1483,B2870,Soybean,JS 9560,57.55,7265.41,"Procurement need for good quality Soybean, open to multiple sellers.",2026-05-02,2026-06-03,Vidarbha,Washim,Malegaon,Bramhanwada Najik Marsul
D1484,B0216,Rice,Not Specified,79.56,4500.13,Buyer looking to purchase Rice directly from farmers.,2026-07-30,2026-11-26,Western Maharashtra (Desh),Kolhapur,Panhala,Karanjphen
D1485,B0149,Coconut,Not Specified,5.9,5602.84,Sourcing Coconut for export-quality grading and packaging.,2026-05-18,2026-06-24,Konkan,Sindhudurg,Vaibhavwadi,Nadhavade
D1486,B4502,Tur,Phule Rajeshwari,15.89,7642.14,Requirement raised for Tur to meet upcoming production schedule.,2026-06-19,2026-08-26,Marathwada,Latur,Ahmedpur,Kingaon
D1487,B3577,Jowar,Not Specified,24.49,2799.55,Looking for fresh Jowar for wholesale procurement.,2026-06-02,2026-09-30,Western Maharashtra (Desh),Pune,Haveli,Ambee
D1488,B4393,Turmeric,Not Specified,30.86,9298.46,Sourcing Turmeric for export-quality grading and packaging.,2026-06-05,2026-06-18,Western Maharashtra (Desh),Sangli,Tasgaon,Anjani
D1489,B0628,Maize,Karveer,20.15,1802.76,Requirement raised for Maize to meet upcoming production schedule.,2026-07-21,2026-09-15,Khandesh,Nandurbar,Navapur,Visarwadi
D1490,B2396,Rice,Karjat-3,51.41,3513.68,Bulk Rice requirement for processing.,2026-05-10,2026-08-12,Konkan,Thane,Thane,Agasan
D1491,B1687,Areca Nut,Sumangala,33.97,55244.01,Need consistent Areca Nut supply for ongoing operations.,2026-08-03,2026-09-05,Konkan,Ratnagiri,Rajapur,Varachiwadi (Kasheli)
D1492,B4518,Field Beans,Konkan Val landrace,22.51,3470.33,Sourcing Field Beans for export-quality grading and packaging.,2026-07-14,2026-07-30,Konkan,Raigad,Sudhagad-Pali,Kumbharshet
D1493,B0443,Groundnut,TAG-24,54.37,7786.39,Sourcing Groundnut in bulk for our processing unit.,2026-05-11,2026-06-22,Vidarbha,Gondia,Amgaon,Anjora
D1494,B4268,Jowar,Phule Yashoda,22.67,3999.87,Seeking regular Jowar supply from nearby farmers.,2026-05-04,2026-06-28,Marathwada,Nanded,Dharmabad,Yetala
D1495,B3607,Soybean,Not Specified,36.83,4790.58,Need consistent Soybean supply for ongoing operations.,2026-08-15,2026-10-13,Khandesh,Nandurbar,Shahada,Asalod
D1496,B2278,Soybean,Not Specified,27.14,7553.24,Looking for fresh Soybean for wholesale procurement.,2026-06-09,2026-09-20,Marathwada,Nanded,Himayatnagar,Pota
D1497,B3146,Sugarcane,CoM 0265,258.43,293.27,"Procurement need for good quality Sugarcane, open to multiple sellers.",2026-06-23,2026-10-10,Western Maharashtra (Desh),Pune,Pune City,Keshavnagar-Mundwa
D1498,B3532,Field Beans,Local Konkan landrace,5.5,4769.06,Looking for fresh Field Beans for wholesale procurement.,2026-08-21,2026-09-21,Konkan,Raigad,Poladpur,Adavale Kh.
D1499,B2151,Chickoo,Not Specified,22.07,3718.34,Requirement raised for Chickoo to meet upcoming production schedule.,2026-08-04,2026-09-10,Konkan,Palghar,Palghar,Betegaon
D1500,B3503,Groundnut,Not Specified,68.9,8254.57,Bulk Groundnut requirement for processing.,2026-07-15,2026-11-09,Vidarbha,Gondia,Sadak-Arjuni,Saundal
D1501,B2355,Ragi,Not Specified,33.54,3579.99,"Standing requirement for Ragi, quantity flexible based on quality.",2026-08-03,2026-11-02,Konkan,Thane,Ambarnath,Ashele
D1502,B2131,Tur,Phule Rajeshwari,38.35,8937.39,"Procurement need for good quality Tur, open to multiple sellers.",2026-05-19,2026-06-14,Konkan,Thane,Shahapur,Shirol
D1503,B2300,Cotton,Not Specified,68.72,7860.23,"Procurement need for good quality Cotton, open to multiple sellers.",2026-08-09,2026-10-10,Marathwada,Jalna,Mantha,Mantha
D1504,B2766,Cashew,Not Specified,5.42,16537.2,Sourcing Cashew in bulk for our processing unit.,2026-07-28,2026-08-07,Konkan,Sindhudurg,Malwan,Waghavane
D1505,B1019,Bajra,Saburi,62.24,4239.4,Need consistent Bajra supply for ongoing operations.,2026-07-04,2026-09-23,Marathwada,Beed,Patoda,Amalner
D1506,B0073,Coconut,Pratap,19.83,5894.56,"Procurement need for good quality Coconut, open to multiple sellers.",2026-06-27,2026-07-12,Konkan,Sindhudurg,Sawantwadi,Kariwade
D1507,B2265,Maize,Not Specified,44.28,2757.05,Need consistent Maize supply for ongoing operations.,2026-05-26,2026-07-25,Khandesh,Nashik,Dindori,Vanarvadi
D1508,B2127,Soybean,Not Specified,16.19,6466.31,Seeking regular Soybean supply from nearby farmers.,2026-08-18,2026-12-04,Vidarbha,Akola,Balapur,Wadegaon
D1509,B0407,Jowar,CSH-16,20.9,4574.89,Need consistent Jowar supply for ongoing operations.,2026-07-19,2026-08-18,Western Maharashtra (Desh),Pune,Junnar,Ahinavewadi
D1510,B4534,Udid,Not Specified,12.7,8717.99,Sourcing Udid in bulk for our processing unit.,2026-08-26,2026-09-22,Konkan,Palghar,Dahanu,Charoti
D1511,B2895,Soybean,JS 20-29,46.11,5555.2,Bulk Soybean requirement for processing.,2026-07-10,2026-08-18,Marathwada,Nanded,Dharmabad,Karkheli
D1512,B4187,Cotton,Bt Cotton (Bollgard II hybrid),28.94,8609.31,Looking to procure Cotton for institutional buyers.,2026-06-28,2026-10-13,Khandesh,Dhule,Sakri,Pimpalner
D1513,B3494,Bajra,Not Specified,17.55,2878.05,Requirement raised for Bajra to meet upcoming production schedule.,2026-06-17,2026-09-02,Western Maharashtra (Desh),Pune,Khed,Ambethan
D1514,B3070,Groundnut,SB-11,48.92,6130.87,Looking for fresh Groundnut for wholesale procurement.,2026-06-11,2026-07-25,Khandesh,Nashik,Malegaon,Dabhadi
D1515,B0210,Field Beans,Konkan Val landrace,32.16,4107.98,Sourcing Field Beans for export-quality grading and packaging.,2026-07-10,2026-08-11,Konkan,Raigad,Poladpur,Agryachakond
D1516,B1761,Ragi,Phule Nachani,5.08,4040.64,Buyer looking to purchase Ragi directly from farmers.,2026-08-08,2026-11-24,Konkan,Ratnagiri,Lanja,Shirambavali
D1517,B0643,Vari,Not Specified,75.52,5263.23,"Standing requirement for Vari, quantity flexible based on quality.",2026-07-09,2026-10-15,Konkan,Thane,Murbad,Deogaon
D1518,B4492,Chickoo,Not Specified,20.48,2143.01,Inviting offers for Chickoo from farmers in the region.,2026-08-12,2026-09-21,Konkan,Palghar,Vasai,Bhatane
D1519,B4297,Groundnut,SB-11,25.94,8554.46,Sourcing Groundnut in bulk for our processing unit.,2026-08-21,2026-10-27,Western Maharashtra (Desh),Satara,Satara,Agudewadi
D1520,B1992,Field Beans,Not Specified,37.98,3374.27,Requirement raised for Field Beans to meet upcoming production schedule.,2026-08-07,2026-08-24,Konkan,Raigad,Karjat,Khandape
D1521,B1975,Cashew,Vengurla-8,15.87,17306.9,Inviting offers for Cashew from farmers in the region.,2026-05-10,2026-06-12,Konkan,Sindhudurg,Sawantwadi,Madkhol
D1522,B3967,Wheat,Not Specified,36.05,2629.12,"Standing requirement for Wheat, quantity flexible based on quality.",2026-08-14,2026-09-24,Marathwada,Jalna,Jalna,Sevali
D1523,B4405,Bajra,Shraddha,51.8,3764.7,"Standing requirement for Bajra, quantity flexible based on quality.",2026-06-06,2026-08-06,Marathwada,Jalna,Badnapur,Bawane Pangri
D1524,B2799,Gram,Digvijay,35.4,5843.98,Seeking regular Gram supply from nearby farmers.,2026-07-18,2026-10-31,Marathwada,Latur,Shirur Anantpal,Anandwadi
D1525,B1623,Ragi,Not Specified,31.61,2794.61,Bulk Ragi requirement for processing.,2026-06-28,2026-10-01,Konkan,Thane,Kalyan,Antarli
D1526,B3850,Tur,Not Specified,16.43,5643.82,Buyer looking to purchase Tur directly from farmers.,2026-05-02,2026-06-17,Vidarbha,Yavatmal,Ghatanji,Anji
D1527,B0599,Linseed,Sharda,59.19,7780.51,Requirement raised for Linseed to meet upcoming production schedule.,2026-05-18,2026-09-09,Vidarbha,Gadchiroli,Korchi,Kotgul
D1528,B4563,Vari,Local Bhagar landrace,17.22,5068.32,Requirement raised for Vari to meet upcoming production schedule.,2026-07-20,2026-10-31,Western Maharashtra (Desh),Kolhapur,Karvir,Amashi
D1529,B0883,Maize,Not Specified,11.34,2531.96,Requirement raised for Maize to meet upcoming production schedule.,2026-08-24,2026-11-09,Khandesh,Jalgaon,Bodwad,Bodwad
D1530,B3685,Rice,Not Specified,47.77,5035.44,Sourcing Rice for export-quality grading and packaging.,2026-05-19,2026-07-06,Vidarbha,Chandrapur,Warora,Amadi
D1531,B4173,Gram,Digvijay,47.59,5538.56,Looking to procure Gram for institutional buyers.,2026-07-03,2026-09-07,Marathwada,Latur,Udgir,Arasnal
D1532,B3593,Cotton,Suraj Bt,25.98,9661.94,"Procurement need for good quality Cotton, open to multiple sellers.",2026-06-12,2026-08-19,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Khuldabad,Verul
D1533,B0396,Soybean,Not Specified,64.86,6302.31,Buyer looking to purchase Soybean directly from farmers.,2026-06-10,2026-08-23,Western Maharashtra (Desh),Satara,Satara,Agudewadi
D1534,B2610,Rice,Not Specified,91.58,3320.98,Sourcing Rice for export-quality grading and packaging.,2026-08-19,2026-12-15,Konkan,Raigad,Panvel,Belavali
D1535,B1726,Tur,ICPL-87,45.29,7641.54,Bulk Tur requirement for processing.,2026-06-19,2026-08-04,Vidarbha,Akola,Murtajapur,Mana
D1536,B0972,Cashew,Vengurla-8,18.36,22589.47,Sourcing Cashew in bulk for our processing unit.,2026-08-23,2026-09-18,Konkan,Sindhudurg,Malwan,Devli
D1537,B0870,Udid,Not Specified,53.22,6907.29,"Procurement need for good quality Udid, open to multiple sellers.",2026-07-15,2026-10-13,Konkan,Palghar,Palghar,Barhanpur
D1538,B1384,Sunflower,KBSH-1,76.08,6770.92,"Procurement need for good quality Sunflower, open to multiple sellers.",2026-04-30,2026-05-28,Vidarbha,Buldhana,Nandura,Alampur
D1539,B3028,Banana,Shrimanti,17.01,3152.64,Seeking regular Banana supply from nearby farmers.,2026-08-15,2026-09-12,Khandesh,Jalgaon,Jalgaon,Asoda
D1540,B0898,Turmeric,Not Specified,28.88,10358.91,Buyer looking to purchase Turmeric directly from farmers.,2026-07-08,2026-07-23,Western Maharashtra (Desh),Sangli,Shirala,Bilashi
D1541,B1121,Sunflower,Not Specified,60.14,5437.5,Requirement raised for Sunflower to meet upcoming production schedule.,2026-08-12,2026-12-10,Vidarbha,Buldhana,Shegaon,Matargaon Bk.
D1542,B1823,Maize,Not Specified,29.68,2288.88,Sourcing Maize in bulk for our processing unit.,2026-07-03,2026-10-30,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Vaijapur,Dhondalgaon
D1543,B4202,Turmeric,Not Specified,5.6,16093.1,Looking for fresh Turmeric for wholesale procurement.,2026-06-30,2026-08-12,Western Maharashtra (Desh),Sangli,Palus,Andhali
D1544,B2602,Turmeric,Selam,21.77,18007.56,Looking for fresh Turmeric for wholesale procurement.,2026-08-24,2026-09-03,Western Maharashtra (Desh),Sangli,Miraj,Ankali
D1545,B2015,Sunflower,Phule Raviraj,69.95,5764.26,"Procurement need for good quality Sunflower, open to multiple sellers.",2026-06-07,2026-07-21,Vidarbha,Buldhana,Jalgaon Jamod,Pimpalgaon Kale
D1546,B3970,Rice,Not Specified,72.97,3897.48,"Procurement need for good quality Rice, open to multiple sellers.",2026-07-25,2026-08-30,Konkan,Thane,Thane,Adavli
D1547,B4230,Coconut,Not Specified,28.59,2774.54,Bulk Coconut requirement for processing.,2026-07-08,2026-07-31,Konkan,Sindhudurg,Sawantwadi,Madkhol
D1548,B1460,Vari,Local Bhagar landrace,51.55,4521.13,"Procurement need for good quality Vari, open to multiple sellers.",2026-07-25,2026-10-19,Konkan,Palghar,Jawhar,Winwal
D1549,B4346,Sunflower,Not Specified,21.6,6015.88,"Procurement need for good quality Sunflower, open to multiple sellers.",2026-08-18,2026-12-06,Vidarbha,Buldhana,Shegaon,Jalamb
D1550,B3974,Wheat,Tapovan (NIAW-917),45.34,2806.07,Sourcing Wheat in bulk for our processing unit.,2026-05-13,2026-06-21,Vidarbha,Wardha,Samudrapur,Bothuda
D1551,B2354,Linseed,Parbhani Alsi,25.67,7176.38,Bulk Linseed requirement for processing.,2026-05-25,2026-07-29,Vidarbha,Gadchiroli,Bhamragad,Brahmanpalli
D1552,B0931,Wheat,Tapovan (NIAW-917),52.01,3133.19,Need consistent Wheat supply for ongoing operations.,2026-08-15,2026-11-10,Vidarbha,Yavatmal,Yavatmal,Moha
D1553,B3376,Linseed,Not Specified,8.93,6190.93,"Procurement need for good quality Linseed, open to multiple sellers.",2026-08-20,2026-11-05,Vidarbha,Gondia,Gondia,Adashi
D1554,B0499,Cotton,Not Specified,28.77,9405.06,Buyer looking to purchase Cotton directly from farmers.,2026-06-25,2026-09-14,Western Maharashtra (Desh),Solapur,Solapur North,Banegaon
D1555,B3484,Field Beans,Konkan Val landrace,13.64,4677.82,Requirement raised for Field Beans to meet upcoming production schedule.,2026-07-25,2026-08-06,Konkan,Raigad,Murud,Adad
D1556,B2528,Groundnut,Phule Unnati,45.71,6153.19,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-08-10,2026-09-18,Khandesh,Dhule,Shirpur,Thalner
D1557,B2701,Udid,BDU-1,72.21,6528.8,Buyer looking to purchase Udid directly from farmers.,2026-05-12,2026-09-04,Konkan,Thane,Kalyan,Antarde
D1558,B2731,Sugarcane,Not Specified,450.7,480.81,Looking to procure Sugarcane for institutional buyers.,2026-05-06,2026-06-26,Western Maharashtra (Desh),Kolhapur,Radhanagari,Phejiwade
D1559,B2967,Udid,Phule Uttara,64.71,7710.82,Sourcing Udid for export-quality grading and packaging.,2026-06-02,2026-07-17,Konkan,Thane,Bhiwandi,Ambardi
D1560,B3063,Turmeric,Phule Swarupa,18.79,11658.84,Looking for fresh Turmeric for wholesale procurement.,2026-05-04,2026-05-15,Western Maharashtra (Desh),Sangli,Jat,Asangi Jat
D1561,B4314,Vari,Local Bhagar landrace,63.91,3311.86,Sourcing Vari in bulk for our processing unit.,2026-06-12,2026-08-05,Konkan,Raigad,Alibag,Akshi
D1562,B2026,Wheat,Lokwan,58.76,2570.88,Buyer looking to purchase Wheat directly from farmers.,2026-05-19,2026-09-15,Vidarbha,Bhandara,Sakoli,Sendurwafa
D1563,B2212,Cotton,Not Specified,13.08,8958.27,Sourcing Cotton for export-quality grading and packaging.,2026-08-08,2026-10-25,Vidarbha,Yavatmal,Arni,Jawala
D1564,B0166,Gram,JAKI-9218,14.79,6031.93,Buyer looking to purchase Gram directly from farmers.,2026-05-28,2026-09-07,Marathwada,Latur,Ausa,Ujani
D1565,B2558,Gram,Not Specified,36.5,6382.84,Sourcing Gram in bulk for our processing unit.,2026-06-08,2026-07-28,Marathwada,Latur,Jalkot,Belsangvi
D1566,B0817,Cashew,Vengurla-8,16.35,18074.97,"Procurement need for good quality Cashew, open to multiple sellers.",2026-08-25,2026-10-09,Konkan,Sindhudurg,Kankavli,Bandargaon
D1567,B2282,Groundnut,Phule Unnati,33.32,9118.11,Sourcing Groundnut for export-quality grading and packaging.,2026-06-25,2026-09-05,Vidarbha,Washim,Malegaon,Bramhanwada Najik Marsul
D1568,B4478,Banana,Not Specified,17.8,3669.71,Looking for fresh Banana for wholesale procurement.,2026-06-25,2026-07-19,Khandesh,Jalgaon,Muktainagar,Anturli
D1569,B3663,Bajra,ICTP-8203,49.78,2893.45,Looking to procure Bajra for institutional buyers.,2026-08-26,2026-10-02,Marathwada,Beed,Beed,Bahirwadi
D1570,B4595,Groundnut,TAG-24,47.07,5856.75,Buyer looking to purchase Groundnut directly from farmers.,2026-07-23,2026-10-16,Western Maharashtra (Desh),Solapur,Solapur North,Banegaon
D1571,B4288,Groundnut,Not Specified,45.32,6389.54,Need consistent Groundnut supply for ongoing operations.,2026-06-05,2026-08-08,Western Maharashtra (Desh),Pune,Velhe,Ambed
D1572,B2768,Bajra,Not Specified,10.68,3825.04,"Standing requirement for Bajra, quantity flexible based on quality.",2026-06-27,2026-07-22,Marathwada,Beed,Georai,Pimpla
D1573,B2197,Cashew,Not Specified,28.59,21691.62,Inviting offers for Cashew from farmers in the region.,2026-07-09,2026-08-03,Konkan,Ratnagiri,Ratnagiri,Bhandarwadi
D1574,B2637,Sunflower,Phule Raviraj,44.96,7775.07,Sourcing Sunflower for export-quality grading and packaging.,2026-05-11,2026-06-18,Vidarbha,Buldhana,Lonar,Sultanpur
D1575,B3488,Turmeric,Not Specified,13.91,16789.18,Seeking regular Turmeric supply from nearby farmers.,2026-07-11,2026-07-28,Western Maharashtra (Desh),Sangli,Tasgaon,Alate
D1576,B1362,Field Beans,Konkan Val landrace,5.77,3880.94,Seeking regular Field Beans supply from nearby farmers.,2026-07-24,2026-09-05,Konkan,Raigad,Tala,Bamanghar
D1577,B3992,Chickoo,Kalipatti,16.2,2577.73,Buyer looking to purchase Chickoo directly from farmers.,2026-08-26,2026-09-22,Konkan,Palghar,Palghar,Betegaon
D1578,B4281,Ragi,Dapoli-2,21.78,3058.34,Sourcing Ragi in bulk for our processing unit.,2026-07-12,2026-09-01,Konkan,Ratnagiri,Rajapur,Avali Chiwadi
D1579,B3042,Jowar,Maldandi,40.1,3307.36,Requirement raised for Jowar to meet upcoming production schedule.,2026-08-23,2026-12-18,Western Maharashtra (Desh),Satara,Koregaon,Ambawade S. Koregaon
D1580,B1109,Soybean,MACS 1281,8.78,5771.36,Seeking regular Soybean supply from nearby farmers.,2026-07-05,2026-07-30,Marathwada,Nanded,Himayatnagar,Sarsam
D1581,B2555,Gram,Not Specified,21.62,4914.8,Need consistent Gram supply for ongoing operations.,2026-06-16,2026-07-18,Marathwada,Latur,Renapur,Kharola
D1582,B3840,Jowar,Not Specified,13.06,5129.78,"Procurement need for good quality Jowar, open to multiple sellers.",2026-06-18,2026-07-14,Vidarbha,Buldhana,Nandura,Yerali
D1583,B1579,Linseed,Parbhani Alsi,40.31,6285.42,"Standing requirement for Linseed, quantity flexible based on quality.",2026-08-08,2026-10-04,Vidarbha,Gadchiroli,Etapalli,Chandanweli
D1584,B4597,Soybean,JS 335,13.05,4914.56,Sourcing Soybean for export-quality grading and packaging.,2026-05-31,2026-07-17,Marathwada,Nanded,Mahur,Gondwadsa
D1585,B2154,Sunflower,Not Specified,17.87,6715.76,Looking to procure Sunflower for institutional buyers.,2026-08-08,2026-10-14,Vidarbha,Buldhana,Deulgaon Raja,Singaon \[Jahnagir\]
D1586,B4716,Chickoo,Not Specified,22.11,2529.39,Sourcing Chickoo for export-quality grading and packaging.,2026-08-18,2026-09-27,Konkan,Thane,Shahapur,Cherpoli
D1587,B1715,Vari,Konkan local Vari landrace,77.64,3412.61,"Standing requirement for Vari, quantity flexible based on quality.",2026-05-21,2026-07-06,Konkan,Thane,Kalyan,Antarde
D1588,B3896,Udid,Not Specified,30.26,9290.68,Looking for fresh Udid for wholesale procurement.,2026-05-19,2026-08-08,Konkan,Palghar,Talasari,Vasa
D1589,B3485,Areca Nut,Not Specified,15.09,45667.05,Bulk Areca Nut requirement for processing.,2026-06-04,2026-07-09,Konkan,Ratnagiri,Ratnagiri,Bhandarwadi
D1590,B3091,Groundnut,Not Specified,54.42,6829.15,Inviting offers for Groundnut from farmers in the region.,2026-06-14,2026-07-19,Western Maharashtra (Desh),Pune,Purandhar,Ambodi
D1591,B1753,Udid,Not Specified,71.89,9093.85,Sourcing Udid for export-quality grading and packaging.,2026-05-20,2026-08-08,Konkan,Palghar,Dahanu,Bordi
D1592,B4592,Cotton,DCH-32,51.82,9098.21,Buyer looking to purchase Cotton directly from farmers.,2026-07-27,2026-09-12,Marathwada,Dharashiv (Osmanabad),Umarga,Turori
D1593,B0208,Ragi,Not Specified,30.94,4118.62,Requirement raised for Ragi to meet upcoming production schedule.,2026-08-04,2026-09-25,Konkan,Thane,Thane,Agasan
D1594,B4586,Tur,Not Specified,67.51,6182.96,Requirement raised for Tur to meet upcoming production schedule.,2026-05-26,2026-09-23,Marathwada,Beed,Ambajogai,Ghatnandur
D1595,B0088,Soybean,JS 9560,41.4,4437.89,Sourcing Soybean in bulk for our processing unit.,2026-06-16,2026-08-27,Marathwada,Nanded,Loha,Sonkhed
D1596,B2079,Wheat,Lokwan,45.9,2081.73,Sourcing Wheat in bulk for our processing unit.,2026-07-26,2026-10-09,Marathwada,Nanded,Hadgaon,Manatha
D1597,B0360,Ragi,Not Specified,26.19,3248.07,Looking for fresh Ragi for wholesale procurement.,2026-08-25,2026-09-22,Konkan,Thane,Murbad,Deogaon
